"Label (Grouping)","Contra Costa County, California!!Estimate","Contra Costa County, California!!Margin of Error","Contra Costa County, California!!Percent","Contra Costa County, California!!Percent Margin of Error"
"SEX AND AGE","","","",""
"    Total population","1,172,607","*****","1,172,607","(X)"
"        Male","577,462","±621","49.2%","±0.1"
"        Female","595,145","±621","50.8%","±0.1"
"        Sex ratio (males per 100 females)","97.0","±0.2","(X)","(X)"
"        Under 5 years","61,371","±514","5.2%","±0.1"
"        5 to 9 years","68,187","±2,819","5.8%","±0.2"
"        10 to 14 years","73,555","±2,779","6.3%","±0.2"
"        15 to 19 years","76,082","±557","6.5%","±0.1"
"        20 to 24 years","67,046","±428","5.7%","±0.1"
"        25 to 34 years","139,217","±478","11.9%","±0.1"
"        35 to 44 years","168,544","±737","14.4%","±0.1"
"        45 to 54 years","157,181","±648","13.4%","±0.1"
"        55 to 59 years","75,333","±3,528","6.4%","±0.3"
"        60 to 64 years","75,137","±3,603","6.4%","±0.3"
"        65 to 74 years","118,908","±518","10.1%","±0.1"
"        75 to 84 years","70,811","±2,033","6.0%","±0.2"
"        85 years and over","21,235","±1,882","1.8%","±0.2"
"        Median age (years)","41.1","±0.3","(X)","(X)"
"        Under 18 years","251,474","*****","21.4%","*****"
"        16 years and over","954,525","±1,860","81.4%","±0.2"
"        18 years and over","921,133","*****","78.6%","*****"
"        21 years and over","881,773","±2,016","75.2%","±0.2"
"        62 years and over","256,054","±3,335","21.8%","±0.3"
"        65 years and over","210,954","±638","18.0%","±0.1"
"        18 years and over","921,133","*****","921,133","(X)"
"            Male","448,388","±458","48.7%","±0.1"
"            Female","472,745","±457","51.3%","±0.1"
"            Sex ratio (males per 100 females)","94.8","±0.2","(X)","(X)"
"        65 years and over","210,954","±638","210,954","(X)"
"            Male","94,691","±555","44.9%","±0.2"
"            Female","116,263","±477","55.1%","±0.2"
"            Sex ratio (males per 100 females)","81.4","±0.6","(X)","(X)"
"RACE","","","",""
"    Total population","1,172,607","*****","1,172,607","(X)"
"        One race","977,772","±12,914","83.4%","±1.1"
"        Two or More Races","194,835","±12,914","16.6%","±1.1"
"        One race","977,772","±12,914","83.4%","±1.1"
"            White","464,287","±6,810","39.6%","±0.6"
"                Egyptian","1,589","±1,318","0.1%","±0.1"
"                English","48,379","±5,596","4.1%","±0.5"
"                German","30,208","±4,442","2.6%","±0.4"
"                Irish","24,324","±3,598","2.1%","±0.3"
"                Italian","20,745","±2,873","1.8%","±0.2"
"                Lebanese","1,499","±1,597","0.1%","±0.1"
