"Label (Grouping)","Marin County, California!!2024 Estimate","Marin County, California!!2023 Estimate","Marin County, California!!2024 - 2023 Statistical Significance","Marin County, California!!2022 Estimate","Marin County, California!!2024 - 2022 Statistical Significance","Marin County, California!!2021 Estimate","Marin County, California!!2024 - 2021 Statistical Significance","Marin County, California!!2020 Estimate","Marin County, California!!2024 - 2020 Statistical Significance"
"SEX AND AGE","","","","","","","","",""
"    Total population","256,400","254,407","c","256,018","c","260,206","c","(X)",""
"        Male","48.8%","49.1%","","48.5%","","49.2%","","(X)",""
"        Female","51.2%","50.9%","","51.5%","","50.8%","","(X)",""
"        Sex ratio (males per 100 females)","95.3","96.5","","94.3","","97.0","","(X)",""
"        Under 5 years","4.5%","4.3%","","4.1%","*","4.3%","","(X)",""
"        5 to 9 years","4.9%","4.8%","","4.8%","","5.8%","*","(X)",""
"        10 to 14 years","5.2%","5.9%","","6.1%","","5.2%","","(X)",""
"        15 to 19 years","6.1%","6.5%","","6.1%","","6.2%","","(X)",""
"        20 to 24 years","4.9%","4.7%","","3.9%","","4.4%","","(X)",""
"        25 to 34 years","9.0%","8.0%","*","9.1%","","9.0%","","(X)",""
"        35 to 44 years","11.6%","11.8%","","11.5%","","12.0%","","(X)",""
"        45 to 54 years","13.9%","14.2%","","14.7%","*","14.6%","*","(X)",""
"        55 to 59 years","7.1%","7.8%","","7.7%","","8.1%","","(X)",""
"        60 to 64 years","7.7%","7.1%","","7.2%","","6.8%","","(X)",""
"        65 to 74 years","13.2%","13.5%","","13.5%","","13.6%","","(X)",""
"        75 to 84 years","8.7%","8.7%","","8.0%","","7.3%","*","(X)",""
"        85 years and over","3.0%","2.5%","","3.2%","","2.8%","","(X)",""
"        Median age (years)","48.2","48.2","","47.9","","46.9","*","(X)",""
"        Under 18 years","18.6%","18.9%","*","18.9%","*","19.2%","*","(X)",""
"        16 years and over","84.1%","83.5%","*","83.8%","","83.4%","*","(X)",""
"        18 years and over","81.4%","81.1%","*","81.1%","*","80.8%","*","(X)",""
"        21 years and over","78.8%","77.9%","*","78.1%","","77.4%","*","(X)",""
"        62 years and over","29.2%","28.9%","","29.0%","","27.7%","*","(X)",""
"        65 years and over","25.0%","24.7%","*","24.6%","*","23.7%","*","(X)",""
"        18 years and over","208,815","206,252","*","207,614","*","210,159","*","(X)",""
"            Male","48.4%","48.7%","","48.5%","","48.7%","","(X)",""
"            Female","51.6%","51.3%","","51.5%","","51.3%","","(X)",""
"            Sex ratio (males per 100 females)","93.9","95.0","","94.2","","95.1","","(X)",""
"        65 years and over","63,982","62,879","*","63,076","*","61,581","*","(X)",""
"            Male","44.7%","44.8%","","44.2%","","45.2%","","(X)",""
"            Female","55.3%","55.2%","","55.8%","","54.8%","","(X)",""
"            Sex ratio (males per 100 females)","81.0","81.1","","79.3","","82.5","","(X)",""
"RACE","","","","","","","","",""
"    Total population","256,400","254,407","c","256,018","c","260,206","c","(X)",""
"        One race","87.7%","87.0%","","89.0%","","88.7%","","(X)",""
"        Two or More Races","12.3%","13.0%","","11.0%","","11.3%","","(X)",""
"        One race","87.7%","87.0%","","89.0%","","88.7%","","(X)",""
"            White","65.6%","66.6%","","68.8%","*","69.7%","*","(X)",""
"                Egyptian","0.0%","0.0%","","0.0%","","0.1%","","(X)",""
"                English","6.2%","5.8%","","7.9%","","5.5%","","(X)",""
"                German","3.7%","3.8%","","4.5%","","3.5%","","(X)",""
"                Irish","3.1%","3.9%","","3.7%","","5.5%","*","(X)",""
"                Italian","3.0%","2.4%","","3.3%","","3.4%","","(X)",""
"                Lebanese","0.0%","0.1%","","0.1%","","0.2%","","(X)",""
"                Other White","49.6%","(X)","","(X)","","(X)","","(X)",""
"            Black or African American","2.0%","2.4%","","2.5%","","2.2%","","(X)",""
"                African American","N","N","","N","","N","","(X)",""
"                Ethiopian","N","N","","N","","N","","(X)",""
"                Haitian","N","N","","N","","N","","(X)",""
"                Jamaican","N","N","","N","","N","","(X)",""
"                Nigerian","N","N","","N","","N","","(X)",""
"                Somali","N","N","","N","","N","","(X)",""
"                Other Black or African American","N","(X)","","(X)","","(X)","","(X)",""
"            American Indian and Alaska Native","1.2%","0.5%","","0.7%","","0.5%","","(X)",""
"                Aztec","N","N","","N","","N","","(X)",""
"                Blackfeet Tribe of the Blackfeet Indian Reservation of Montana","N","N","","N","","N","","(X)",""
"                Maya","N","N","","N","","N","","(X)",""
"                Native Village of Barrow Inupiat Traditional Government","N","N","","N","","N","","(X)",""
"                Navajo Nation","N","N","","N","","N","","(X)",""
"                Nome Eskimo Community","N","N","","N","","N","","(X)",""
"                Other American Indian and Alaska Native","N","N","","(X)","","(X)","","(X)",""
"            Asian","6.5%","6.3%","","6.9%","","6.7%","","(X)",""
"                Asian Indian","1.2%","1.0%","","0.6%","*","1.7%","","(X)",""
"                Chinese","1.9%","1.6%","","1.8%","","1.4%","","(X)",""
"                Filipino","0.8%","1.4%","*","1.0%","","1.4%","","(X)",""
"                Japanese","0.3%","0.4%","","0.5%","","0.8%","*","(X)",""
"                Korean","0.4%","0.4%","","0.3%","","0.3%","","(X)",""
"                Vietnamese","0.3%","0.4%","","0.9%","","0.7%","","(X)",""
"                Other Asian","1.6%","1.1%","","1.9%","","0.4%","*","(X)",""
"            Native Hawaiian and Other Pacific Islander","0.1%","0.0%","","0.1%","","0.3%","","(X)",""
"                Chamorro","N","N","","N","","N","","(X)",""
"                Native Hawaiian","N","N","","N","","N","","(X)",""
"                Samoan","N","N","","N","","N","","(X)",""
"                Other Native Hawaiian and Other Pacific Islander","N","N","","N","","N","","(X)",""
"            Some Other Race","12.2%","11.1%","","10.0%","","9.3%","*","(X)",""
"        Two or More Races","12.3%","13.0%","","11.0%","","11.3%","","(X)",""
"            White and Black or African American","1.2%","0.7%","","0.3%","*","1.1%","","(X)",""
"            White and American Indian and Alaska Native","0.5%","0.7%","","0.6%","","0.6%","","(X)",""
"            White and Asian","2.5%","3.1%","","2.1%","","1.8%","","(X)",""
"            White and Some Other Race","5.9%","7.1%","","6.0%","","6.4%","","(X)",""
"            Black or African American and American Indian and Alaska Native","0.0%","0.1%","","0.1%","","0.0%","","(X)",""
"            Black or African American and Some Other Race","0.0%","0.2%","","0.1%","","0.5%","*","(X)",""
"Race alone or in combination with one or more other races","","","","","","","","",""
"    Total population","256,400","254,407","c","256,018","c","260,206","c","(X)",""
"        White","77.1%","78.8%","","78.8%","","80.3%","*","(X)",""
"        Black or African American","3.7%","3.6%","","3.8%","","4.1%","","(X)",""
"        American Indian and Alaska Native","2.9%","1.7%","","2.7%","","1.3%","*","(X)",""
"        Asian","9.7%","9.8%","","9.7%","","9.0%","*","(X)",""
"        Native Hawaiian and Other Pacific Islander","0.7%","0.2%","","0.2%","","0.6%","","(X)",""
"        Some Other Race","19.5%","19.5%","","16.8%","*","16.5%","*","(X)",""
"HISPANIC OR LATINO AND RACE","","","","","","","","",""
"    Total population","256,400","254,407","c","256,018","c","260,206","c","(X)",""
"        Hispanic or Latino (of any race)","20.4%","19.6%","c","17.1%","c","16.8%","c","(X)",""
"            Mexican","7.2%","6.8%","","7.7%","","5.8%","","(X)",""
"            Puerto Rican","0.4%","0.7%","","0.5%","","0.6%","","(X)",""
"            Cuban","0.3%","0.2%","","0.2%","","0.0%","*","(X)",""
"            Other Hispanic or Latino","12.5%","11.8%","","8.7%","*","10.3%","*","(X)",""
"        Not Hispanic or Latino","79.6%","80.4%","c","82.9%","c","83.2%","c","(X)",""
"            White alone","63.2%","64.5%","","67.0%","*","67.6%","*","(X)",""
"            Black or African American alone","1.9%","2.4%","","2.4%","","2.1%","","(X)",""
"            American Indian and Alaska Native alone","0.1%","0.0%","","0.1%","","0.1%","*","(X)",""
"            Asian alone","6.4%","6.1%","","6.8%","","6.7%","","(X)",""
"            Native Hawaiian and Other Pacific Islander alone","0.1%","0.0%","","0.1%","","0.3%","","(X)",""
"            Some Other Race alone","1.6%","0.7%","","1.0%","","1.7%","","(X)",""
"            Two or More Races","6.4%","6.6%","","5.4%","","4.8%","*","(X)",""
"                Two races including Some Other Race","1.7%","2.2%","","2.1%","","1.2%","","(X)",""
"                Two races excluding Some Other Race, and three or more races","4.7%","4.4%","","3.3%","*","3.6%","*","(X)",""
"Total housing units","112,687","112,359","*","111,969","*","111,753","*","(X)",""
"CITIZEN, VOTING AGE POPULATION","","","","","","","","",""
"    Citizen, 18 and over population","188,063","183,383","*","188,159","","187,435","","(X)",""
"        Male","47.3%","48.2%","","48.2%","","48.3%","","(X)",""
"        Female","52.7%","51.8%","","51.8%","","51.7%","","(X)",""
