"Label (Grouping)","Napa County, California!!2024 Estimate","Napa County, California!!2023 Estimate","Napa County, California!!2024 - 2023 Statistical Significance","Napa County, California!!2022 Estimate","Napa County, California!!2024 - 2022 Statistical Significance","Napa County, California!!2021 Estimate","Napa County, California!!2024 - 2021 Statistical Significance","Napa County, California!!2020 Estimate","Napa County, California!!2024 - 2020 Statistical Significance"
"SEX AND AGE","","","","","","","","",""
"    Total population","132,727","133,216","c","134,300","c","136,207","c","(X)",""
"        Male","49.9%","49.9%","","50.7%","","50.1%","","(X)",""
"        Female","50.1%","50.1%","","49.3%","","49.9%","","(X)",""
"        Sex ratio (males per 100 females)","99.4","99.6","","102.6","","100.3","","(X)",""
"        Under 5 years","4.1%","4.4%","","4.2%","","4.7%","*","(X)",""
"        5 to 9 years","4.5%","5.1%","","4.4%","","5.0%","","(X)",""
"        10 to 14 years","5.9%","5.3%","","6.4%","","6.1%","","(X)",""
"        15 to 19 years","6.6%","5.9%","","6.7%","","6.5%","","(X)",""
"        20 to 24 years","5.8%","6.6%","","6.3%","","6.1%","","(X)",""
"        25 to 34 years","11.8%","11.9%","","11.2%","","11.7%","","(X)",""
"        35 to 44 years","12.5%","12.9%","","13.0%","","13.2%","*","(X)",""
"        45 to 54 years","12.6%","12.7%","","12.9%","","13.0%","","(X)",""
"        55 to 59 years","5.3%","6.6%","*","6.5%","*","7.1%","*","(X)",""
"        60 to 64 years","8.1%","6.7%","*","6.8%","*","6.2%","*","(X)",""
"        65 to 74 years","11.9%","12.5%","","12.0%","","11.7%","","(X)",""
"        75 to 84 years","8.0%","7.1%","","6.8%","*","5.8%","*","(X)",""
"        85 years and over","2.9%","2.4%","","2.7%","","2.8%","","(X)",""
"        Median age (years)","43.7","43.6","","43.1","","42.7","*","(X)",""
"        Under 18 years","18.2%","19.0%","*","19.1%","*","19.7%","*","(X)",""
"        16 years and over","84.0%","84.3%","","83.8%","","83.2%","*","(X)",""
"        18 years and over","81.8%","81.0%","*","80.9%","*","80.3%","*","(X)",""
"        21 years and over","77.1%","77.6%","","77.1%","","76.5%","","(X)",""
"        62 years and over","28.1%","26.4%","*","24.9%","*","23.7%","*","(X)",""
"        65 years and over","22.8%","22.0%","*","21.6%","*","20.4%","*","(X)",""
"        18 years and over","108,583","107,936","*","108,677","","109,413","*","(X)",""
"            Male","49.8%","50.0%","","49.6%","","49.7%","","(X)",""
"            Female","50.2%","50.0%","","50.4%","","50.3%","","(X)",""
"            Sex ratio (males per 100 females)","99.4","99.9","","98.4","","99.0","","(X)",""
"        65 years and over","30,254","29,250","*","28,962","*","27,748","*","(X)",""
"            Male","47.2%","46.6%","","46.3%","","46.6%","","(X)",""
"            Female","52.8%","53.4%","","53.7%","","53.4%","","(X)",""
"            Sex ratio (males per 100 females)","89.5","87.4","","86.2","","87.4","","(X)",""
"RACE","","","","","","","","",""
"    Total population","132,727","133,216","c","134,300","c","136,207","c","(X)",""
"        One race","86.9%","82.0%","*","83.0%","","82.9%","*","(X)",""
"        Two or More Races","13.1%","18.0%","*","17.0%","","17.1%","*","(X)",""
"        One race","86.9%","82.0%","*","83.0%","","82.9%","*","(X)",""
"            White","55.1%","54.9%","","53.2%","","56.1%","","(X)",""
"                Egyptian","0.0%","0.0%","","0.0%","","0.1%","","(X)",""
"                English","10.5%","8.1%","","5.7%","*","8.0%","","(X)",""
"                German","3.5%","2.8%","","3.8%","","4.4%","","(X)",""
"                Irish","2.1%","2.5%","","3.2%","*","3.0%","","(X)",""
"                Italian","1.7%","2.0%","","3.0%","*","2.0%","","(X)",""
"                Lebanese","0.0%","0.0%","","0.2%","","0.0%","","(X)",""
"                Other White","37.3%","(X)","","(X)","","(X)","","(X)",""
"            Black or African American","2.4%","2.8%","","1.9%","","1.9%","","(X)",""
"                African American","N","N","","N","","N","","(X)",""
"                Ethiopian","N","N","","N","","N","","(X)",""
"                Haitian","N","N","","N","","N","","(X)",""
"                Jamaican","N","N","","N","","N","","(X)",""
"                Nigerian","N","N","","N","","N","","(X)",""
"                Somali","N","N","","N","","N","","(X)",""
"                Other Black or African American","N","(X)","","(X)","","(X)","","(X)",""
"            American Indian and Alaska Native","1.3%","0.4%","","1.8%","","1.8%","","(X)",""
"                Aztec","N","N","","N","","N","","(X)",""
"                Blackfeet Tribe of the Blackfeet Indian Reservation of Montana","N","N","","N","","N","","(X)",""
"                Maya","N","N","","N","","N","","(X)",""
"                Native Village of Barrow Inupiat Traditional Government","N","N","","N","","N","","(X)",""
"                Navajo Nation","N","N","","N","","N","","(X)",""
"                Nome Eskimo Community","N","N","","N","","N","","(X)",""
"                Other American Indian and Alaska Native","N","N","","(X)","","(X)","","(X)",""
"            Asian","9.6%","9.0%","","8.6%","*","8.9%","","(X)",""
"                Asian Indian","0.5%","0.7%","","1.1%","","0.8%","","(X)",""
"                Chinese","1.5%","0.8%","","1.0%","","0.9%","","(X)",""
"                Filipino","6.0%","5.8%","","5.1%","","6.0%","","(X)",""
"                Japanese","0.4%","0.2%","","0.1%","","0.2%","","(X)",""
"                Korean","0.1%","0.4%","","0.4%","","0.5%","","(X)",""
"                Vietnamese","0.0%","0.2%","","0.2%","*","0.0%","","(X)",""
"                Other Asian","1.1%","0.9%","","0.7%","","0.5%","","(X)",""
"            Native Hawaiian and Other Pacific Islander","0.6%","0.2%","","0.4%","","0.1%","","(X)",""
"                Chamorro","N","N","","N","","N","","(X)",""
"                Native Hawaiian","N","N","","N","","N","","(X)",""
"                Samoan","N","N","","N","","N","","(X)",""
"                Other Native Hawaiian and Other Pacific Islander","N","N","","N","","N","","(X)",""
"            Some Other Race","17.9%","14.7%","","17.1%","","14.0%","","(X)",""
"        Two or More Races","13.1%","18.0%","*","17.0%","","17.1%","*","(X)",""
"            White and Black or African American","0.5%","0.7%","","0.6%","","0.8%","","(X)",""
"            White and American Indian and Alaska Native","1.0%","0.7%","","0.9%","","1.0%","","(X)",""
"            White and Asian","1.0%","1.9%","","0.8%","","1.2%","","(X)",""
"            White and Some Other Race","9.0%","12.7%","","12.6%","","12.6%","*","(X)",""
"            Black or African American and American Indian and Alaska Native","0.1%","0.1%","","0.0%","","0.0%","*","(X)",""
"            Black or African American and Some Other Race","0.1%","0.0%","","0.0%","","0.0%","","(X)",""
"Race alone or in combination with one or more other races","","","","","","","","",""
"    Total population","132,727","133,216","c","134,300","c","136,207","c","(X)",""
"        White","67.9%","72.1%","","69.5%","","72.7%","*","(X)",""
"        Black or African American","3.0%","4.5%","*","3.9%","*","3.2%","","(X)",""
"        American Indian and Alaska Native","3.7%","2.6%","","3.4%","","3.6%","","(X)",""
"        Asian","10.8%","11.6%","","10.5%","*","10.7%","","(X)",""
"        Native Hawaiian and Other Pacific Islander","N","N","","0.5%","","0.5%","","(X)",""
"        Some Other Race","28.1%","28.3%","","30.6%","","27.6%","","(X)",""
"HISPANIC OR LATINO AND RACE","","","","","","","","",""
"    Total population","132,727","133,216","c","134,300","c","136,207","c","(X)",""
"        Hispanic or Latino (of any race)","37.2%","36.7%","c","36.0%","c","35.6%","c","(X)",""
"            Mexican","30.4%","28.2%","","31.6%","","31.1%","","(X)",""
"            Puerto Rican","1.6%","0.4%","","0.3%","*","0.1%","*","(X)",""
"            Cuban","0.3%","0.2%","","0.4%","","0.0%","","(X)",""
"            Other Hispanic or Latino","5.0%","8.0%","*","3.7%","","4.3%","","(X)",""
"        Not Hispanic or Latino","62.8%","63.3%","c","64.0%","c","64.4%","c","(X)",""
"            White alone","47.5%","48.4%","*","48.8%","*","49.7%","*","(X)",""
"            Black or African American alone","1.9%","1.8%","","1.7%","","1.9%","","(X)",""
"            American Indian and Alaska Native alone","0.2%","0.1%","","0.1%","","0.2%","","(X)",""
"            Asian alone","9.6%","8.2%","*","8.6%","*","8.8%","","(X)",""
"            Native Hawaiian and Other Pacific Islander alone","0.1%","0.2%","","0.4%","*","0.1%","","(X)",""
"            Some Other Race alone","0.6%","0.4%","","0.3%","","0.1%","*","(X)",""
"            Two or More Races","2.8%","4.2%","*","4.1%","*","3.7%","","(X)",""
"                Two races including Some Other Race","0.6%","0.5%","","0.8%","","0.7%","","(X)",""
"                Two races excluding Some Other Race, and three or more races","2.2%","3.8%","*","3.3%","*","3.0%","","(X)",""
"Total housing units","56,344","56,046","*","56,502","","55,319","*","(X)",""
"CITIZEN, VOTING AGE POPULATION","","","","","","","","",""
"    Citizen, 18 and over population","97,866","96,652","","95,959","","97,013","","(X)",""
"        Male","49.2%","48.9%","","49.4%","","48.7%","","(X)",""
"        Female","50.8%","51.1%","","50.6%","","51.3%","","(X)",""
