"Label (Grouping)","San Francisco County, California!!2024 Estimate","San Francisco County, California!!2023 Estimate","San Francisco County, California!!2024 - 2023 Statistical Significance","San Francisco County, California!!2022 Estimate","San Francisco County, California!!2024 - 2022 Statistical Significance","San Francisco County, California!!2021 Estimate","San Francisco County, California!!2024 - 2021 Statistical Significance","San Francisco County, California!!2020 Estimate","San Francisco County, California!!2024 - 2020 Statistical Significance"
"SEX AND AGE","","","","","","","","",""
"    Total population","827,526","808,988","c","808,437","c","815,201","c","(X)",""
"        Male","51.5%","51.4%","","51.3%","","51.2%","*","(X)",""
"        Female","48.5%","48.6%","","48.7%","","48.8%","*","(X)",""
"        Sex ratio (males per 100 females)","106.0","105.9","","105.3","","104.9","*","(X)",""
"        Under 5 years","3.9%","4.0%","*","4.1%","*","4.3%","*","(X)",""
"        5 to 9 years","3.1%","3.8%","*","3.5%","*","3.7%","*","(X)",""
"        10 to 14 years","4.2%","3.6%","*","3.8%","","3.9%","","(X)",""
"        15 to 19 years","4.0%","3.9%","","3.7%","*","3.7%","*","(X)",""
"        20 to 24 years","5.2%","4.8%","*","5.1%","","5.0%","","(X)",""
"        25 to 34 years","19.8%","19.7%","","19.9%","","20.2%","*","(X)",""
"        35 to 44 years","16.7%","16.4%","*","16.3%","*","16.3%","*","(X)",""
"        45 to 54 years","12.8%","13.2%","*","13.1%","*","13.3%","*","(X)",""
"        55 to 59 years","6.0%","5.9%","","6.4%","","6.5%","*","(X)",""
"        60 to 64 years","6.0%","6.2%","","5.7%","","5.7%","","(X)",""
"        65 to 74 years","10.1%","10.2%","*","10.2%","","10.0%","*","(X)",""
"        75 to 84 years","5.9%","5.4%","*","5.5%","","4.8%","*","(X)",""
"        85 years and over","2.5%","2.9%","","2.6%","","2.6%","","(X)",""
"        Median age (years)","40.5","40.7","","40.4","","40.4","","(X)",""
"        Under 18 years","13.4%","13.6%","*","13.7%","*","14.0%","*","(X)",""
"        16 years and over","88.1%","88.1%","","87.9%","","87.5%","*","(X)",""
"        18 years and over","86.6%","86.4%","*","86.3%","*","86.0%","*","(X)",""
"        21 years and over","84.0%","84.1%","","84.3%","*","83.7%","*","(X)",""
"        62 years and over","22.0%","22.1%","","21.7%","","20.9%","*","(X)",""
"        65 years and over","18.5%","18.5%","","18.3%","*","17.5%","*","(X)",""
"        18 years and over","716,449","698,913","*","698,006","*","701,174","*","(X)",""
"            Male","51.4%","51.4%","","51.4%","","51.1%","*","(X)",""
"            Female","48.6%","48.6%","","48.6%","","48.9%","*","(X)",""
"            Sex ratio (males per 100 females)","105.8","105.6","","105.8","","104.7","*","(X)",""
"        65 years and over","152,829","149,666","*","147,741","*","142,482","*","(X)",""
"            Male","46.3%","46.1%","","45.6%","*","46.0%","*","(X)",""
"            Female","53.7%","53.9%","","54.4%","*","54.0%","*","(X)",""
"            Sex ratio (males per 100 females)","86.2","85.6","","83.8","*","85.3","*","(X)",""
"RACE","","","","","","","","",""
"    Total population","827,526","808,988","c","808,437","c","815,201","c","(X)",""
"        One race","87.7%","88.6%","","88.0%","","88.3%","","(X)",""
"        Two or More Races","12.3%","11.4%","","12.0%","","11.7%","","(X)",""
"        One race","87.7%","88.6%","","88.0%","","88.3%","","(X)",""
"            White","38.3%","39.0%","*","39.1%","*","39.0%","*","(X)",""
"                Egyptian","0.0%","0.0%","","0.1%","","0.1%","","(X)",""
"                English","3.0%","2.5%","","2.6%","","3.3%","","(X)",""
"                German","1.9%","2.2%","","2.1%","","1.9%","","(X)",""
"                Irish","2.8%","3.0%","","2.9%","","2.7%","","(X)",""
"                Italian","1.7%","1.7%","","1.6%","","2.0%","","(X)",""
"                Lebanese","0.1%","0.1%","","0.1%","","0.1%","","(X)",""
"                Other White","28.7%","(X)","","(X)","","(X)","","(X)",""
"            Black or African American","5.0%","4.8%","","4.6%","","5.3%","","(X)",""
"                African American","2.6%","2.4%","","2.8%","","2.5%","","(X)",""
"                Ethiopian","0.3%","0.1%","","0.1%","*","0.2%","","(X)",""
"                Haitian","0.0%","0.0%","","0.0%","","0.0%","","(X)",""
"                Jamaican","0.1%","0.0%","","0.0%","","0.1%","","(X)",""
"                Nigerian","0.1%","0.1%","","0.1%","","0.2%","","(X)",""
"                Somali","0.0%","0.0%","","0.0%","","0.0%","","(X)",""
"                Other Black or African American","1.8%","(X)","","(X)","","(X)","","(X)",""
"            American Indian and Alaska Native","0.5%","0.9%","*","1.0%","","0.5%","","(X)",""
"                Aztec","N","N","","N","","N","","(X)",""
"                Blackfeet Tribe of the Blackfeet Indian Reservation of Montana","N","N","","N","","N","","(X)",""
"                Maya","N","N","","N","","N","","(X)",""
"                Native Village of Barrow Inupiat Traditional Government","N","N","","N","","N","","(X)",""
"                Navajo Nation","N","N","","N","","N","","(X)",""
"                Nome Eskimo Community","N","N","","N","","N","","(X)",""
"                Other American Indian and Alaska Native","N","N","","(X)","","(X)","","(X)",""
"            Asian","35.4%","35.9%","","35.8%","","35.5%","","(X)",""
"                Asian Indian","3.4%","3.3%","","2.9%","","3.3%","","(X)",""
"                Chinese","19.7%","21.0%","","22.2%","*","22.1%","*","(X)",""
"                Filipino","4.5%","4.5%","","3.8%","","3.9%","","(X)",""
"                Japanese","1.1%","1.1%","","1.1%","","1.0%","","(X)",""
"                Korean","1.7%","1.3%","","1.4%","","1.3%","","(X)",""
"                Vietnamese","2.2%","1.4%","*","1.2%","*","1.9%","","(X)",""
"                Other Asian","2.9%","3.4%","","3.1%","","1.9%","*","(X)",""
"            Native Hawaiian and Other Pacific Islander","0.3%","0.3%","","0.5%","*","0.3%","","(X)",""
"                Chamorro","0.0%","N","","0.0%","","0.0%","","(X)",""
"                Native Hawaiian","0.1%","N","","0.1%","","0.1%","","(X)",""
"                Samoan","0.1%","N","","0.2%","","0.1%","","(X)",""
"                Other Native Hawaiian and Other Pacific Islander","0.0%","N","","0.1%","","0.1%","","(X)",""
"            Some Other Race","8.2%","7.6%","","7.0%","","7.7%","","(X)",""
"        Two or More Races","12.3%","11.4%","","12.0%","","11.7%","","(X)",""
"            White and Black or African American","0.9%","1.1%","","1.0%","","0.6%","*","(X)",""
"            White and American Indian and Alaska Native","0.4%","0.5%","","0.4%","","0.4%","","(X)",""
"            White and Asian","3.5%","2.7%","*","3.0%","","3.3%","","(X)",""
"            White and Some Other Race","4.8%","5.0%","","5.3%","","5.3%","","(X)",""
