"Label (Grouping)","San Mateo County, California!!2024 Estimate","San Mateo County, California!!2023 Estimate","San Mateo County, California!!2024 - 2023 Statistical Significance","San Mateo County, California!!2022 Estimate","San Mateo County, California!!2024 - 2022 Statistical Significance","San Mateo County, California!!2021 Estimate","San Mateo County, California!!2024 - 2021 Statistical Significance","San Mateo County, California!!2020 Estimate","San Mateo County, California!!2024 - 2020 Statistical Significance"
"SEX AND AGE","","","","","","","","",""
"    Total population","742,893","726,353","c","729,181","c","737,888","c","(X)",""
"        Male","49.8%","50.0%","","50.0%","","49.8%","","(X)",""
"        Female","50.2%","50.0%","","50.0%","","50.2%","","(X)",""
"        Sex ratio (males per 100 females)","99.3","99.8","","99.8","","99.2","","(X)",""
"        Under 5 years","5.0%","4.9%","","4.9%","","5.1%","","(X)",""
"        5 to 9 years","5.1%","4.5%","*","5.4%","","5.7%","*","(X)",""
"        10 to 14 years","5.2%","6.0%","*","5.5%","","5.5%","","(X)",""
"        15 to 19 years","5.5%","5.5%","","5.5%","","5.5%","","(X)",""
"        20 to 24 years","5.4%","5.3%","","5.2%","*","5.0%","*","(X)",""
"        25 to 34 years","14.2%","13.9%","*","14.0%","*","14.3%","","(X)",""
"        35 to 44 years","14.7%","14.6%","","14.7%","","14.6%","","(X)",""
"        45 to 54 years","13.1%","13.5%","*","13.5%","*","13.6%","*","(X)",""
"        55 to 59 years","6.8%","6.6%","","6.4%","","6.9%","","(X)",""
"        60 to 64 years","6.0%","6.5%","*","6.5%","*","6.3%","","(X)",""
"        65 to 74 years","10.5%","10.3%","*","10.3%","","10.1%","*","(X)",""
"        75 to 84 years","6.0%","6.0%","","5.5%","*","5.1%","*","(X)",""
"        85 years and over","2.4%","2.3%","","2.6%","","2.3%","","(X)",""
"        Median age (years)","41.5","41.5","","41.4","","40.8","*","(X)",""
"        Under 18 years","18.9%","19.1%","*","19.3%","*","19.9%","*","(X)",""
"        16 years and over","83.4%","83.5%","","83.1%","*","82.6%","*","(X)",""
