"Label (Grouping)","Santa Clara County, California!!Estimate","Santa Clara County, California!!Margin of Error","Santa Clara County, California!!Percent","Santa Clara County, California!!Percent Margin of Error"
"SEX AND AGE","","","",""
"    Total population","1,926,325","*****","1,926,325","(X)"
"        Male","980,603","±1,078","50.9%","±0.1"
"        Female","945,722","±1,078","49.1%","±0.1"
"        Sex ratio (males per 100 females)","103.7","±0.2","(X)","(X)"
"        Under 5 years","93,997","±753","4.9%","±0.1"
"        5 to 9 years","96,378","±4,449","5.0%","±0.2"
"        10 to 14 years","110,655","±4,504","5.7%","±0.2"
"        15 to 19 years","121,551","±1,042","6.3%","±0.1"
"        20 to 24 years","128,903","±1,199","6.7%","±0.1"
"        25 to 34 years","314,757","±1,092","16.3%","±0.1"
"        35 to 44 years","283,072","±974","14.7%","±0.1"
"        45 to 54 years","246,626","±630","12.8%","±0.1"
"        55 to 59 years","121,801","±5,362","6.3%","±0.3"
"        60 to 64 years","107,955","±5,379","5.6%","±0.3"
"        65 to 74 years","166,727","±419","8.7%","±0.1"
"        75 to 84 years","93,901","±3,083","4.9%","±0.2"
"        85 years and over","40,002","±3,072","2.1%","±0.2"
"        Median age (years)","38.3","±0.2","(X)","(X)"
"        Under 18 years","372,075","±1,043","19.3%","±0.1"
"        16 years and over","1,602,626","±2,390","83.2%","±0.1"
"        18 years and over","1,554,250","±1,043","80.7%","±0.1"
"        21 years and over","1,479,568","±2,736","76.8%","±0.1"
"        62 years and over","363,414","±3,860","18.9%","±0.2"
"        65 years and over","300,630","±396","15.6%","±0.1"
"        18 years and over","1,554,250","±1,043","1,554,250","(X)"
"            Male","790,028","±614","50.8%","±0.1"
"            Female","764,222","±754","49.2%","±0.1"
"            Sex ratio (males per 100 females)","103.4","±0.1","(X)","(X)"
"        65 years and over","300,630","±396","300,630","(X)"
"            Male","137,633","±423","45.8%","±0.1"
"            Female","162,997","±436","54.2%","±0.1"
"            Sex ratio (males per 100 females)","84.4","±0.4","(X)","(X)"
"RACE","","","",""
"    Total population","1,926,325","*****","1,926,325","(X)"
"        One race","1,634,773","±15,187","84.9%","±0.8"
"        Two or More Races","291,552","±15,187","15.1%","±0.8"
"        One race","1,634,773","±15,187","84.9%","±0.8"
"            White","544,483","±8,729","28.3%","±0.5"
"                Egyptian","2,255","±1,652","0.1%","±0.1"
"                English","48,166","±5,139","2.5%","±0.3"
"                German","27,600","±2,989","1.4%","±0.2"
"                Irish","22,315","±3,551","1.2%","±0.2"
"                Italian","27,561","±4,014","1.4%","±0.2"
"                Lebanese","1,007","±689","0.1%","±0.1"
"                Other White","415,579","±9,904","21.6%","±0.5"
"            Black or African American","44,313","±3,678","2.3%","±0.2"
"                African American","19,649","±3,365","1.0%","±0.2"
"                Ethiopian","7,107","±3,779","0.4%","±0.2"
"                Haitian","0","±225","0.0%","±0.1"
"                Jamaican","500","±478","0.0%","±0.1"
"                Nigerian","445","±337","0.0%","±0.1"
"                Somali","649","±950","0.0%","±0.1"
"                Other Black or African American","15,963","±3,030","0.8%","±0.2"
"            American Indian and Alaska Native","18,583","±4,237","1.0%","±0.2"
"                Aztec","4,915","±2,990","0.3%","±0.2"
"                Blackfeet Tribe of the Blackfeet Indian Reservation of Montana","0","±225","0.0%","±0.1"
"                Maya","1,606","±1,362","0.1%","±0.1"
"                Native Village of Barrow Inupiat Traditional Government","0","±225","0.0%","±0.1"
"                Navajo Nation","1,218","±969","0.1%","±0.1"
"                Nome Eskimo Community","0","±225","0.0%","±0.1"
"                Other American Indian and Alaska Native","10,844","±2,626","0.6%","±0.1"
"            Asian","810,623","±6,667","42.1%","±0.3"
"                Asian Indian","217,805","±12,021","11.3%","±0.6"
"                Chinese","248,270","±13,820","12.9%","±0.7"
"                Filipino","78,064","±8,393","4.1%","±0.4"
"                Japanese","26,133","±4,022","1.4%","±0.2"
"                Korean","37,816","±5,597","2.0%","±0.3"
"                Vietnamese","146,668","±13,147","7.6%","±0.7"
"                Other Asian","55,867","±6,078","2.9%","±0.3"
"            Native Hawaiian and Other Pacific Islander","8,615","±801","0.4%","±0.1"
"                Chamorro","3,903","±3,147","0.2%","±0.2"
"                Native Hawaiian","1,014","±896","0.1%","±0.1"
"                Samoan","2,941","±2,334","0.2%","±0.1"
"                Other Native Hawaiian and Other Pacific Islander","757","±914","0.0%","±0.1"
"            Some Other Race","208,156","±14,420","10.8%","±0.7"
"        Two or More Races","291,552","±15,187","15.1%","±0.8"
"            White and Black or African American","11,467","±2,811","0.6%","±0.1"
"            White and American Indian and Alaska Native","7,357","±2,391","0.4%","±0.1"
"            White and Asian","41,550","±4,355","2.2%","±0.2"
"            White and Some Other Race","190,913","±12,011","9.9%","±0.6"
"            Black or African American and American Indian and Alaska Native","998","±824","0.1%","±0.1"
"            Black or African American and Some Other Race","1,612","±863","0.1%","±0.1"
"Race alone or in combination with one or more other races","","","",""
"    Total population","1,926,325","*****","1,926,325","(X)"
"        White","816,042","±14,715","42.4%","±0.8"
"        Black or African American","68,241","±2,828","3.5%","±0.1"
"        American Indian and Alaska Native","42,771","±5,314","2.2%","±0.3"
"        Asian","873,641","±4,503","45.4%","±0.2"
"        Native Hawaiian and Other Pacific Islander","16,287","±3,258","0.8%","±0.2"
"        Some Other Race","423,400","±10,163","22.0%","±0.5"
"HISPANIC OR LATINO AND RACE","","","",""
"    Total population","1,926,325","*****","1,926,325","(X)"
"        Hispanic or Latino (of any race)","477,197","*****","24.8%","*****"
"            Mexican","377,335","±9,897","19.6%","±0.5"
"            Puerto Rican","7,474","±2,121","0.4%","±0.1"
"            Cuban","3,348","±1,278","0.2%","±0.1"
"            Other Hispanic or Latino","89,040","±9,295","4.6%","±0.5"
"        Not Hispanic or Latino","1,449,128","*****","75.2%","*****"
"            White alone","496,182","±3,180","25.8%","±0.2"
"            Black or African American alone","41,880","±3,172","2.2%","±0.2"
"            American Indian and Alaska Native alone","4,432","±1,087","0.2%","±0.1"
"            Asian alone","806,238","±6,557","41.9%","±0.3"
"            Native Hawaiian and Other Pacific Islander alone","8,043","±666","0.4%","±0.1"
"            Some Other Race alone","14,188","±3,900","0.7%","±0.2"
"            Two or More Races","78,165","±7,915","4.1%","±0.4"
"                Two races including Some Other Race","9,979","±2,307","0.5%","±0.1"
"                Two races excluding Some Other Race, and three or more races","68,186","±7,190","3.5%","±0.4"
"Total housing units","707,569","±462","(X)","(X)"
"CITIZEN, VOTING AGE POPULATION","","","",""
"    Citizen, 18 and over population","1,193,956","±11,038","1,193,956","(X)"
"        Male","595,375","±7,348","49.9%","±0.3"
"        Female","598,581","±6,374","50.1%","±0.3"
