"Label (Grouping)","Sonoma County, California!!2024 Estimate","Sonoma County, California!!2023 Estimate","Sonoma County, California!!2024 - 2023 Statistical Significance","Sonoma County, California!!2022 Estimate","Sonoma County, California!!2024 - 2022 Statistical Significance","Sonoma County, California!!2021 Estimate","Sonoma County, California!!2024 - 2021 Statistical Significance","Sonoma County, California!!2020 Estimate","Sonoma County, California!!2024 - 2020 Statistical Significance"
"SEX AND AGE","","","","","","","","",""
"    Total population","485,375","481,812","c","482,650","c","485,887","c","(X)",""
"        Male","49.1%","49.3%","","49.2%","","49.1%","","(X)",""
"        Female","50.9%","50.7%","","50.8%","","50.9%","","(X)",""
"        Sex ratio (males per 100 females)","96.4","97.2","","96.9","","96.6","","(X)",""
"        Under 5 years","4.6%","4.7%","","4.5%","","4.6%","","(X)",""
"        5 to 9 years","4.7%","5.0%","","5.2%","","4.8%","","(X)",""
"        10 to 14 years","5.4%","5.3%","","5.3%","","6.1%","*","(X)",""
"        15 to 19 years","6.0%","6.0%","","5.9%","","6.0%","","(X)",""
"        20 to 24 years","5.6%","5.3%","*","5.8%","","5.5%","","(X)",""
"        25 to 34 years","11.8%","12.1%","","12.1%","","12.3%","*","(X)",""
"        35 to 44 years","13.6%","13.4%","*","13.3%","*","13.4%","","(X)",""
"        45 to 54 years","12.2%","12.5%","*","12.4%","*","12.2%","","(X)",""
"        55 to 59 years","6.1%","6.4%","","6.5%","","6.6%","","(X)",""
"        60 to 64 years","6.9%","7.0%","","7.1%","","7.4%","","(X)",""
"        65 to 74 years","13.1%","13.1%","","13.1%","","13.0%","","(X)",""
"        75 to 84 years","7.5%","6.9%","*","6.8%","*","5.8%","*","(X)",""
"        85 years and over","2.4%","2.3%","","2.0%","","2.3%","","(X)",""
"        Median age (years)","43.4","43.3","","43.2","","42.7","*","(X)",""
"        Under 18 years","18.3%","18.7%","*","18.6%","*","19.1%","*","(X)",""
"        16 years and over","84.0%","83.8%","","83.8%","","83.1%","*","(X)",""
"        18 years and over","81.7%","81.3%","*","81.4%","*","80.9%","*","(X)",""
"        21 years and over","78.2%","78.0%","","78.1%","","77.5%","*","(X)",""
"        62 years and over","27.1%","26.5%","*","26.5%","*","25.4%","*","(X)",""
"        65 years and over","23.0%","22.3%","*","22.0%","*","21.1%","*","(X)",""
"        18 years and over","396,560","391,712","*","392,805","*","393,176","*","(X)",""
"            Male","48.7%","48.8%","","48.8%","","48.7%","","(X)",""
"            Female","51.3%","51.2%","","51.2%","","51.3%","","(X)",""
"            Sex ratio (males per 100 females)","94.9","95.1","","95.4","","94.8","","(X)",""
"        65 years and over","111,568","107,579","*","106,062","*","102,400","*","(X)",""
"            Male","44.8%","45.4%","*","44.8%","","44.9%","","(X)",""
"            Female","55.2%","54.6%","*","55.2%","","55.1%","","(X)",""
